Lintang,Bujur,Tinggi_Ortometrik,CBA
-8.06397,110.4317,217.7,149.9039571
-8.05249,110.48934,256.6,127.518241
-8.05187,110.53478,283.5,143.9128702
-8.06365,110.57838,244,126.882713
-8.06296,110.6231,257.8,117.652595
-8.05708,110.65143,251.3,116.453035
-8.06493,110.70199,292.3,103.16632
-8.06533,110.7578,358,110.9688
-8.00887,110.30228,8.7,118.7918131
-8.00392,110.34721,343.3,160.7277431
-7.99981,110.3818,325.8,135.857499
-8.01548,110.41866,305.2,138.898309
-8.01448,110.46374,331.9,132.442871
-8.00593,110.5192,158.9,126.9005602
-8.00253,110.56087,171.1,120.5216702
-7.99994,110.60167,159.6,108.6847024
-8.00072,110.65911,169.9,111.4853224
-7.99779,110.69759,200,81.385306
-8.01761,110.7426,368,102.357376
-7.95207,110.18994,4.2,82.791926
-7.96901,110.25522,9.9,82.663046
-7.95656,110.30441,16.6,90.4489556
-7.95193,110.39037,22.6,105.9176473
-7.9783,110.43327,302.4,115.764211
-7.97663,110.47515,112.8,91.060211
-7.95757,110.52109,173.2,91.356019
-7.97125,110.56396,175,92.893359
-7.95388,110.60483,191.2,91.08883
-7.95654,110.66088,184,90.77022
-7.97535,110.76024,455.9,104.701666
-7.92295,110.1166,6.1,95.9741391
-7.90288,110.15373,4.4,93.2125491
-7.91744,110.19508,7.3,85.962546
-7.92827,110.25157,14.8,80.761726
-7.90028,110.29782,34.1,81.0481656
-7.92607,110.34174,26,82.6833156
-7.91978,110.38113,32.7,94.92853726
-7.93139,110.41942,340.7,128.7928073
-7.91953,110.46927,220.6,117.3269097
-7.92188,110.52193,201.5,86.383329
-7.91359,110.55567,210.6,83.606669
-7.91944,110.59815,172.3,82.28274
-7.91803,110.6584,173.9,83.09139
-7.91588,110.68762,186.6,76.058057
-7.91619,110.74795,376.9,109.939917
-7.86969,110.06512,10.5,123.3652437
-7.88564,110.11622,5.6,100.1213555
-7.85861,110.15824,16.8,95.7004955
-7.88217,110.20574,27.4,85.9931881
-7.87469,110.25679,34.7,80.2501781
-7.87241,110.30239,127.1,82.903077
-7.86322,110.33902,58.4,78.366737
-7.87388,110.38154,50.4,81.0599847
-7.87411,110.41464,54,90.3958647
-7.88259,110.45161,375.3,95.683671
