Lintang,Bujur,Tinggi_Ort,CBA
-7.55675,111.88634,61,-43.64293
-7.39619,112.23975,51,-43.604032
-7.71286,113.26284,-22.33,-43.263337
-7.16638,105.8257,-2207.88,-43.188367
-6.51827,109.48725,-41.122,-43.182789
-7.24266,105.65684,-2128.5,-43.158437
-6.45172,109.39155,-46.757,-43.148709
-6.22127,105.10611,-932.837,-42.980089
-7.31212,113.81591,-41.294,-42.945533
-7.45826,113.48591,-60.695,-42.945119
-7.46125,111.34773,78,-42.899448
-7.89566,112.06479,139,-42.805361
-7.44153,114.48903,-107.057,-42.787015
-6.89852,110.67174,5,-42.744955
-6.75352,110.43285,-19.755,-42.70166
-7.47151,111.34453,83,-42.675804
-7.53938,113.1749,-31.868,-42.645593
-7.46583,111.63042,78,-42.607978
-7.6042,111.87143,62,-42.598943
-6.8908,110.38989,-12.034,-42.449921
-7.51684,110.76243,122,-42.422778
-7.84088,112.22312,295,-42.30025
-6.38839,110.97381,-16.768,-42.29529
-7.60867,113.15321,-17.8,-42.277403
-6.29697,111.46048,-44.91,-42.269573
-8.07502,113.29281,75,-42.156182
-7.49861,112.9027,-8.03,-41.960382
-7.64029,113.28556,-36.157,-41.958669
-7.26138,111.26827,147,-41.94847
-7.57228,110.88675,105,-41.905865
-7.3837,113.65186,-29.677,-41.822458
-7.40887,110.51184,772,-41.813946
-7.60552,112.86928,1,-41.754867
-7.96743,112.04289,132,-41.646438
-6.93016,110.37756,-8,-41.617665
-7.51868,111.89825,67,-41.613621
-7.58204,110.03183,425,-41.542098
-6.89027,110.81692,6,-41.496276
-7.32068,112.38681,36,-41.472871
-7.34703,110.81567,150,-41.435479
-7.72219,112.83276,59,-41.228919
-7.42594,111.50174,67,-41.227523
-6.66909,109.32361,-34.836,-41.093921
-6.74367,110.43593,-21.324,-40.954447
-7.44881,113.48888,-59.841,-40.779878
-7.4408,113.20576,-34.221,-40.649491
-6.76676,110.99691,36,-40.642521
-6.56269,111.06087,3,-40.582996
-7.24732,105.94571,-2440.596,-40.547117
-7.59659,111.58942,66,-40.482686
-7.4229,111.92826,257,-40.45665
-6.73193,114.28209,-66.32,-40.453486
-7.45147,111.9193,168,-40.414171
-7.44596,111.63665,86,-40.411229
-7.59886,110.16796,290,-40.370745
-7.35105,110.24582,512,-40.367035
-6.96516,112.7842,-1.852,-40.359436
-7.46781,113.05461,-26.553,-40.310208
-7.13681,111.42798,91,-40.232684
-6.72873,111.7199,-3.751,-40.211163
-7.52904,111.46941,54,-40.204653
-6.08503,111.06847,-51.827,-40.102831
-6.86132,110.39909,-17.083,-40.06625
-7.14903,111.46628,80,-40.049681
-7.54725,111.88929,59,-40.030985
-6.38006,112.53901,-59.594,-39.969596
-7.40373,111.93427,168,-39.878128
-8.1439,111.98676,100,-39.817309
-7.58652,111.59257,63,-39.755785
-7.37715,113.08291,-39.988,-39.688374
-7.57643,111.59573,61,-39.62907
-7.38899,110.51806,739,-39.616109
-7.44799,112.06276,151,-39.573635
-7.93638,112.05203,140,-39.545329
-7.62991,113.28881,-38.148,-39.484947
-7.44519,112.91944,-7.087,-39.378843
-7.31649,113.10189,-37.854,-39.323808
-7.43934,113.49186,-59.135,-39.267832
-6.61282,110.19368,-45.328,-39.26689
-7.42049,113.49774,-59.012,-39.263847
-6.77912,114.12521,-54.891,-39.246959
-7.48793,112.90605,-8.387,-39.234124
-7.56778,113.30824,-43.359,-39.214464
-7.41334,111.93126,217,-39.126635
-6.73377,110.43904,-23.15,-39.098097
-7.56627,111.59893,60,-39.047846
-7.43455,112.92275,-7.89,-38.995363
-6.47738,112.65043,-54.783,-38.987696
-7.45586,112.9161,-6.712,-38.830035
-7.41104,113.50072,-59.203,-38.793639
-6.36835,110.98007,-13.958,-38.702295
-7.4299,113.4948,-58.87,-38.676325
-6.52599,111.07237,-9.425,-38.66487
-6.46754,112.65349,-55.062,-38.657619
-7.55607,111.60213,61,-38.624745
-6.6789,109.32055,-34.247,-38.586652
-7.41675,112.0725,142,-38.555871
-7.5282,111.89527,62,-38.489718
