Lintang,Bujur,Tinggi_Ort,CBA
-6.771,106.79,502.7,61.565103
-6.825,106.76,455.9,90.524647
-6.724,107.07,811.6,47.39113
-6.771,107.06,965,55.08295
-6.697,106.79,527.4,43.732171
-6.691,106.84,504.8,37.347513
-6.69,106.9,738.6,38.734077
-6.686,106.93,901.2,46.173619
-6.698,106.98,1330.9,77.1356
-6.643,106.53,616.6,66.213268
-6.655,106.55,613.2,82.624082
-6.632,106.67,412.7,52.747255
-6.647,106.72,563.8,50.024582
-6.644,106.76,450.9,48.038096
-6.646,106.84,422.7,51.668767
-6.644,106.8,335.1,43.48025
-6.65,106.9,600.7,47.689293
-6.582,106.5,453.2,72.488311
-6.597,106.53,299.2,69.570739
-6.595,106.57,516.8,79.250183
-6.591,106.7,241.9,56.508014
-6.587,106.74,204.1,55.5094
-6.596,106.8,255.2,52.845279
-6.587,106.84,230.4,55.971351
-6.599,106.89,437.3,66.224664
-6.564,106.99,351.8,53.144711
-6.598,107.02,463.6,55.878265
-6.581,107.08,441.7,48.620182
-6.565,106.58,214,64.480094
-6.558,106.71,175.2,53.305226
-6.557,106.75,179.7,48.838686
-6.556,106.8,192.8,48.789511
-6.538,107.03,210.2,47.694037
-6.541,107.1,275.2,46.136635
-6.524,106.63,130.7,48.077874
-6.515,106.67,131,47.776881
-6.504,106.7,123.7,47.361901
-6.505,106.76,150.2,45.565831
-6.506,106.8,148.5,43.175011
-6.499,106.83,139.4,45.857749
-6.481,106.98,116.4,39.938062
-6.509,107.04,190.3,46.294866
-6.472,107.08,92.8,36.404304
-6.484,106.47,114,73.179405
-6.456,106.5,92.9,69.477036
-6.43,106.55,89.2,69.932698
-6.461,106.64,100,62.715976
-6.485,106.68,114.2,54.319569
-6.478,106.72,119.8,48.640553
-6.46,106.79,108.8,42.487001
-6.465,106.85,122.4,41.827851
-6.448,106.99,84.2,41.68188
-6.447,107.03,63,37.322584
-6.444,107.06,59.5,32.929287
-6.406,106.68,78.5,56.428085
-6.422,106.71,95.7,54.597631
-6.408,106.93,84.8,42.500821
-6.363,106.68,67.5,50.594753
-6.371,106.7,69.1,49.98243
-6.379,106.94,73.7,45.559795
-6.503,107.13,84,43.725105
-6.869,106.77,381.7,100.685039
-6.808,107.12,535.2,54.301636
-6.677,107.03,1150.9,43.0981
-6.755,107.19,350.1,50.601829
-6.808,107.16,370.3,42.890121
-6.869,107.09,546.3,59.615937
-6.49,106.84,139.2,45.247777
-6.897,106.81,464.1,103.407585
-6.858,107.1,509,57.457687
-6.44706,106.77862,114.7,45.219311
-6.43852,106.82233,107,47.71402
-6.45048,106.86931,109.3,44.716984
-6.3956,106.7429,88.2,51.432922
-6.39924,106.77855,85.7,47.642808
-6.39376,106.81491,85.4,43.43934
-6.39975,106.86161,90,39.587327
-6.40824,106.93547,84,42.425325
-6.35409,106.77565,68.5,47.115537
-6.43898,107.07382,63.6,32.371769
-6.44306,107.12771,56.2,32.357118
-6.4321,107.19227,34.3,43.130019
-6.38028,107.03599,59.3,36.508122
-6.39916,107.1009,53.6,30.034723
-6.39142,107.13329,54.2,30.849128
-6.37194,107.182,52.8,38.641661
-6.34496,107.00593,43.7,35.864095
-6.34619,107.05393,43,31.626618
-6.34054,107.10197,35.1,32.317538
-6.35188,107.14072,33.5,36.744532
-6.33537,107.19145,24.5,34.486459
-6.29899,106.95898,35.5,37.327753
-6.30668,107.00296,29.9,30.749442
-6.30585,107.03811,30.3,29.495737
-6.30673,107.1125,29.4,32.543162
-6.30056,107.14508,28.2,33.518086
-6.32118,107.25414,14.6,34.237542
-6.25982,106.97084,17.9,32.544261
-6.26122,107.00405,18.7,29.365534
-6.2533,107.05399,13.2,29.061515
-6.25512,107.09616,12.8,31.744169
-6.26,107.13873,17.6,33.046036
-6.25998,107.18289,11.4,35.798052
-6.25255,107.23409,10.8,33.124178
-6.262,107.27217,12.2,32.525275
-6.20656,107.0034,13.8,30.663188
-6.21256,107.0465,10.8,30.699896
-6.21494,107.08916,9.7,31.688865
-6.20713,107.13917,9.4,32.435432
-6.20724,107.18828,9.3,32.471115
-6.21041,107.2215,8.8,30.397567
-6.21373,107.27229,9.8,28.125707
-6.16977,107.04573,7.5,34.722232
-6.16229,107.0936,4.5,35.217644
-6.16444,107.12893,5.5,33.388941
-6.16475,107.17657,6.9,30.975381
-6.16993,107.23172,6.4,24.283296
-6.16637,107.27668,8.5,19.546672
-6.11947,107.08432,2.5,36.677418
-6.12507,107.16316,5.2,32.090081
-6.10247,107.20724,5.3,25.879404
-6.08127,107.09136,3.2,34.87567
-6.076,107.14359,5.8,32.813757
-6.24955,107.01551,20.9,28.87218
-6.31267,107.18132,18.2,34.884927
-7.35711,112.572,18.8,-18.409127
-7.34833,112.5076,58,-19.90346
-7.34995,112.4752,47.4,-18.064357
-7.35045,112.4219,68.7,-12.592757
-7.34501,112.373,53,-6.289313
-7.3428,112.2842,80.1,1.810903
-7.34063,112.2419,75.7,5.51188
-7.2947,112.5647,8.7,-12.290703
-7.29979,112.5083,14.6,-12.960216
-7.30082,112.464,18.7,-8.090221
-7.30357,112.4166,27.7,0.520197
-7.3149,112.3837,34.3,5.751028
