Lintang,Bujur,Tinggi_Ortometrik,CBA
-7.87282,111.07653,231,114.0953085
-7.87217,111.07674,231,115.1113523
-7.87151,111.07694,231,116.1498745
-7.87085,111.07715,231,117.2024112
-7.8702,111.07735,238,118.2833135
-7.86954,111.07756,238,119.3574049
-7.86889,111.07776,238,120.4234211
-7.86823,111.07797,238,121.5191085
-7.86758,111.07817,238,122.6061877
-7.86692,111.07837,238,123.7193629
-7.86627,111.07858,244,124.8375725
-7.86561,111.07878,244,125.9349294
-7.86496,111.07899,244,127.0352442
-7.8643,111.07919,255,128.2140852
-7.86365,111.07939,255,129.3368816
-7.863,111.0796,255,130.4783967
-7.86234,111.0798,260,131.6683002
-7.86169,111.08,260,132.8316058
-7.86104,111.08021,260,134.0141634
-7.86038,111.08041,260,135.2209088
-7.85973,111.08061,260,136.4245493
-7.85908,111.08082,260,137.6479455
-7.85843,111.08102,260,138.8782441
-7.85778,111.08122,266,140.1486759
-7.85712,111.08143,266,141.4293759
